,words,pos,dep,stop,likenum,nounchunk,cem,label
676,field,1,pobj,0,0,0,0,3
677,BF,1,nmod,0,0,0,0,3
678,imaging,1,appos,0,0,0,0,3
679,high,3,amod,0,0,0,0,3
680,resolution,1,conj,0,0,0,0,3
681,HR,1,appos,0,0,1,0,3
682,and,0,cc,1,0,0,0,0
683,the,0,det,1,0,0,0,0
684,selected,4,amod,0,0,0,0,3
685,area,1,compound,0,0,0,0,3
686,electron,1,compound,0,0,0,0,3
687,diffraction,1,conj,0,0,0,0,3
688,SAED,2,appos,0,0,1,0,3
689,were,4,auxpass,1,0,0,0,0
690,performed,4,ROOT,0,0,0,0,0
691,using,4,xcomp,1,0,0,0,0
692,a,0,det,1,0,0,0,0
693,JEOL,2,nmod,0,0,0,1,3
694,JEM0−2010,2,nmod,0,0,0,0,3
695,HT,2,nmod,0,0,0,0,3
696,electron,1,compound,0,0,0,0,3
697,microscope,1,dobj,0,0,0,0,3
698,All,0,nsubjpass,0,0,0,0,0
699,of,0,prep,1,0,0,0,0
700,these,0,det,1,0,0,0,0
701,measurements,1,pobj,0,0,0,0,0
702,were,4,auxpass,1,0,0,0,0
703,carried,4,ROOT,0,0,0,0,0
704,out,0,prt,1,0,0,0,0
705,at,0,prep,1,0,0,0,0
706,room,1,compound,0,0,0,0,1
707,temperature,1,pobj,0,0,0,0,1
708,RT,2,appos,0,0,1,0,1
709,in,0,prep,1,0,0,0,0
710,ambient,3,amod,0,0,0,0,1
711,atmosphere,1,pobj,0,0,0,0,1
712,TiO2−M−TiO2,2,nmod,0,0,0,1,2
713,M,1,nmod,0,0,0,0,2
714,=,0,punct,0,0,0,0,2
715,W,2,appos,0,0,0,0,2
716,and,0,cc,1,0,0,0,0
717,Co,2,conj,0,0,1,1,2
718,Multilayer,2,compound,0,0,0,0,4
719,Film,2,compound,0,0,0,0,4
720,Synthesis,2,ROOT,0,0,0,0,0
721,The,0,det,0,0,0,0,0
722,procedure,1,nsubjpass,0,0,0,0,0
723,for,0,prep,1,0,0,0,0
724,the,0,det,1,0,0,0,0
725,sample,1,compound,0,0,0,0,6
726,preparation,1,pobj,0,0,0,0,0
727,was,4,auxpass,1,0,0,0,0
728,previously,0,advmod,0,0,0,0,0
729,reported,4,ROOT,0,0,0,0,0
730,in,0,prep,1,0,0,0,0
731,detail,1,pobj,0,0,1,0,0
732,We,0,nsubj,0,0,1,0,0
733,provide,4,ROOT,0,0,0,0,0
734,a,0,det,1,0,0,0,0
735,brief,3,amod,0,0,0,0,0
736,description,1,dobj,0,0,0,0,0
737,with,0,prep,1,0,0,0,0
738,the,0,det,1,0,0,0,0
739,particular,3,amod,0,0,0,0,0
740,samples,1,pobj,0,0,0,0,6
741,used,4,acl,1,0,0,0,0
742,in,0,prep,1,0,0,0,0
743,this,0,det,1,0,0,0,0
744,work,1,pobj,0,0,0,0,0
745,TiO−M−TiO2,2,det,0,0,0,1,2
746,M,1,nmod,0,0,0,0,2
747,=,0,punct,0,0,0,0,2
748,W,2,nmod,0,0,0,0,2
749,and,0,cc,1,0,0,0,0
750,Co,2,conj,0,0,0,1,2
751,multilayer,1,compound,0,0,0,0,4
752,films,1,nsubjpass,0,0,0,0,4
753,were,4,auxpass,1,0,0,0,0
754,deposited,4,ROOT,0,0,0,0,5
755,on,0,prep,1,0,0,0,0
756,glass,1,compound,0,0,0,0,2
757,substrates,1,pobj,0,0,0,0,4
758,using,4,acl,1,0,0,0,0
759,radio,1,compound,0,0,0,0,5
760,-,0,punct,0,0,0,0,5
761,frequency,1,nmod,0,0,0,0,5
762,reactive,3,amod,0,0,0,0,5
763,magnetron,3,compound,0,0,0,0,5
764,sputtering,1,dobj,0,0,0,0,5
765,For,0,prep,0,0,0,0,0
766,each,0,det,1,0,0,0,0
767,sample,1,pobj,0,0,0,0,6
768,four,0,nummod,1,1,0,0,4
769,layers,1,nsubjpass,0,0,0,0,4
770,of,0,prep,1,0,0,0,0
771,TiO2,1,pobj,0,0,1,1,2
772,and,0,cc,1,0,0,0,0
773,three,0,nummod,1,1,0,0,4
774,layers,1,conj,0,0,0,0,4
775,of,0,prep,1,0,0,0,0
776,the,0,det,1,0,0,0,0
777,selected,4,amod,0,0,0,0,2
778,metal,1,pobj,0,0,0,0,2
779,were,4,auxpass,1,0,0,0,0
780,deposited,4,ROOT,0,0,0,0,5
781,Alternately,0,advmod,0,0,0,0,0
782,one,0,nummod,1,1,0,0,4
783,layer,1,nsubjpass,0,0,0,0,4
784,of,0,prep,1,0,0,0,0
785,TiO2,1,pobj,0,0,0,1,2
786,and,0,cc,1,0,0,0,0
787,one,0,nummod,1,1,0,0,4
788,layer,1,conj,0,0,0,0,4
789,of,0,prep,1,0,0,0,0
790,the,0,det,1,0,0,0,0
791,metal,1,pobj,0,0,0,0,2
792,were,4,auxpass,1,0,0,0,0
793,deposited,4,ROOT,0,0,0,0,5
794,as,0,mark,1,0,0,0,0
795,this,0,det,1,0,0,0,0
796,procedure,1,nsubjpass,0,0,0,0,0
797,was,4,auxpass,1,0,0,0,0
798,repeated,4,advcl,0,0,0,0,5
799,three,0,nummod,1,1,0,0,5
800,times,1,npadvmod,0,0,0,0,5
801,After,0,mark,0,0,0,0,0
802,the,0,det,1,0,0,0,0
803,TiO2,1,nmod,0,0,0,1,2
804,/metal,3,punct,0,0,0,0,2
805,layers,1,nsubjpass,0,0,0,0,4
806,were,4,auxpass,1,0,0,0,0
807,deposited,4,advcl,0,0,0,0,5
808,an,0,det,1,0,0,0,0
809,additional,3,amod,0,0,0,0,0
810,layer,1,nsubjpass,0,0,0,0,4
811,of,0,prep,1,0,0,0,0
812,TiO2,2,pobj,0,0,1,1,2
813,was,4,auxpass,1,0,0,0,0
814,added,4,ROOT,0,0,0,0,5
815,as,0,prep,1,0,0,0,0
816,a,0,det,1,0,0,0,0
817,cover,1,pobj,0,0,0,0,4
818,The,0,det,0,0,0,0,0
819,total,3,amod,0,0,0,0,4
820,thickness,1,nsubj,0,0,0,0,4
821,of,0,prep,1,0,0,0,0
822,the,0,det,1,0,0,0,0
823,TiO2,2,compound,0,0,0,1,2
824,layers,1,pobj,0,0,0,0,4
825,was,4,ROOT,1,0,0,0,0
826,about,0,advmod,1,0,0,0,0
827,80,0,nummod,0,1,0,0,4
828,nm,0,attr,0,0,0,0,4
829,The,0,det,0,0,0,0,0
830,deposition,1,compound,0,0,0,0,1
831,rates,1,nsubj,0,0,0,0,1
832,of,0,prep,1,0,0,0,0
833,the,0,det,1,0,0,0,0
834,W,2,nmod,0,0,0,0,2
835,and,0,cc,1,0,0,0,0
836,Co,2,conj,0,0,0,1,2
837,layers,1,pobj,0,0,0,0,4
838,were,4,ROOT,1,0,0,0,0
839,10,0,attr,0,1,0,0,1
840,and,0,cc,1,0,0,0,0
841,5.3,0,nummod,0,1,0,0,1
842,nm,0,nmod,0,0,0,0,1
843,/,0,punct,0,0,0,0,1
844,min,1,conj,0,0,0,0,1
845,respectively,0,advmod,0,0,0,0,0
846,and,0,cc,1,0,0,0,0
847,two,0,nummod,1,1,0,0,0
848,different,3,amod,0,0,0,0,0
849,deposition,1,compound,0,0,0,0,1
850,times,1,nsubjpass,0,0,0,0,1
851,of,0,prep,1,0,0,0,0
852,10,0,nummod,0,1,0,0,1
853,and,0,cc,1,0,0,0,0
854,30,0,conj,0,1,0,0,1
855,s,1,pobj,0,0,0,0,1
856,were,4,auxpass,1,0,0,0,0
857,selected,4,conj,0,0,0,0,0
858,After,0,prep,0,0,0,0,0
859,deposition,1,pobj,0,0,0,0,5
860,all,0,det,1,0,0,0,0
861,TiO2,1,nmod,0,0,0,1,2
862,−M−TiO2,0,compound,0,0,0,1,2
863,films,1,nsubjpass,0,0,0,0,4
864,were,4,auxpass,1,0,0,0,0
865,annealed,4,ROOT,0,0,0,0,5
866,at,0,prep,1,0,0,0,0
867,500,0,nummod,0,1,0,0,1
868,°C,1,compound,0,0,0,0,1
869,in,0,prep,1,0,0,0,1
870,air,1,pobj,0,0,1,0,0
871,for,0,prep,1,0,0,0,0
872,2,0,nummod,0,1,0,0,1
873,h.,1,pobj,0,0,0,0,1
874,Different,3,amod,0,0,0,0,0
875,ZnIn2S4,2,compound,0,0,0,1,2
876,polymorphs,1,nsubjpass,0,0,0,0,4
877,were,4,auxpass,1,0,0,0,0
878,synthesized,4,ROOT,0,0,0,0,0
879,via,0,prep,1,0,0,0,0
880,a,0,det,1,0,0,0,0
881,hydrothermal,3,amod,0,0,0,0,5
882,process,1,pobj,0,0,0,0,5
883,according,4,prep,0,0,0,0,0
884,to,0,prep,1,0,0,0,0
885,our,0,poss,1,0,0,0,0
886,previous,3,amod,0,0,0,0,0
887,report,1,pobj,0,0,0,0,0
888,For,0,prep,0,0,0,0,0
889,cubic,3,amod,0,0,0,0,4
890,ZnIn2S4,2,pobj,0,0,0,1,2
891,Zn(NO3)2·6H2O,2,pobj,0,0,1,1,2
892,0.297,0,nummod,0,1,0,0,0
893,g,1,appos,0,0,0,0,0
894,1,0,nummod,0,1,0,0,0
895,mmol,1,appos,0,0,0,0,0
896,In-(NO3)3·4.5H2O,2,conj,0,0,0,1,2
897,0.762,0,nummod,0,1,0,0,0
898,g,1,appos,0,0,0,0,0
899,2,0,nummod,0,1,0,0,0
900,mmol,1,appos,0,0,0,0,0
901,and,0,cc,1,0,0,0,0
902,thioacetamide,1,conj,0,0,0,1,2
903,TAA,2,nmod,0,0,0,1,2
904,0.15,0,nummod,0,1,0,0,0
905,g,1,nsubjpass,0,0,0,0,0
906,2,0,nummod,0,1,0,0,0
907,mmol,1,appos,0,0,0,0,0
908,were,4,auxpass,1,0,0,0,0
909,dissolved,4,ROOT,0,0,0,0,5
910,in,0,prep,1,0,0,0,0
911,70,0,nummod,0,1,0,0,0
912,mL,1,pobj,0,0,0,0,0
913,of,0,prep,1,0,0,0,0
914,deionized,3,amod,0,0,0,0,2
915,water,1,pobj,0,0,0,0,2
916,and,0,cc,1,0,0,0,0
917,transferred,4,conj,0,0,0,0,5
918,to,0,prep,1,0,0,0,0
919,a,0,det,1,0,0,0,0
920,100,0,nummod,0,1,0,0,0
921,mL,2,compound,0,0,0,0,0
922,Teflon,2,compound,0,0,0,1,3
923,linear,1,pobj,0,0,0,0,3
924,The,0,det,0,0,0,0,0
925,Teflon,2,compound,0,0,0,1,3
926,linear,1,nsubjpass,0,0,0,0,3
927,was,4,auxpass,1,0,0,0,0
928,sealed,4,ROOT,0,0,0,0,5
929,in,0,prep,1,0,0,0,0
930,the,0,det,1,0,0,0,0
931,stainless,3,amod,0,0,0,0,3
932,steel,1,compound,0,0,0,0,3
933,autoclave,1,pobj,0,0,0,0,3
934,and,0,cc,1,0,0,0,0
935,heated,4,conj,0,0,0,0,5
936,at,0,prep,1,0,0,0,0
937,120,0,nummod,0,1,0,0,1
938,°C,1,compound,0,0,0,0,1
939,After,0,prep,0,0,0,0,0
940,the,0,det,1,0,0,0,0
941,reaction,1,pobj,0,0,0,0,0
942,the,0,det,1,0,0,0,0
943,autoclave,1,nsubjpass,0,0,0,0,3
944,was,4,auxpass,1,0,0,0,0
945,cooled,4,ROOT,0,0,0,0,5
946,to,0,prep,1,0,0,0,0
947,room,4,compound,0,0,0,0,1
948,temperature,1,pobj,0,0,0,0,1
949,The,0,det,0,0,0,0,0
950,product,1,nsubjpass,0,0,0,0,6
951,collected,4,acl,0,0,0,0,0
952,was,4,auxpass,1,0,0,0,0
953,washed,4,ROOT,0,0,0,0,5
954,with,0,prep,1,0,0,0,0
955,deionized,3,amod,0,0,0,0,2
956,water,1,pobj,0,0,0,0,2
957,several,3,amod,1,0,0,0,1
958,times,1,npadvmod,0,0,0,0,1
959,before,0,mark,1,0,0,0,0
960,it,0,nsubjpass,1,0,1,0,0
961,was,4,auxpass,1,0,0,0,0
962,dried,4,advcl,0,0,0,0,5
963,at,0,prep,1,0,0,0,0
964,60,0,nummod,0,1,0,0,1
965,°C,1,compound,0,0,0,0,1
966,to,0,aux,1,0,0,0,0
967,obtain,4,advcl,0,0,0,0,0
968,the,0,det,1,0,0,0,0
969,final,3,amod,0,0,0,0,6
970,product,1,dobj,0,0,0,0,6
971,A,0,det,0,0,0,0,0
972,similar,3,amod,0,0,0,0,0
973,procedure,1,nsubjpass,0,0,0,0,0
974,was,4,auxpass,1,0,0,0,0
975,applied,4,ROOT,0,0,0,0,0
976,in,0,prep,1,0,0,0,0
977,the,0,det,1,0,0,0,0
978,preparation,1,pobj,0,0,0,0,0
979,of,0,prep,1,0,0,0,0
980,hexagonal,3,amod,0,0,0,0,4
981,ZnIn2S4,0,compound,0,0,0,1,2
982,microspheres,1,pobj,0,0,0,0,4
983,except,0,prep,1,0,0,0,0
984,that,0,mark,1,0,0,0,0
985,ZnCl2,1,nsubjpass,0,0,1,1,2
986,and,0,cc,1,0,0,0,0
987,InCl3·4H2O,2,conj,0,0,1,1,2
988,were,4,auxpass,1,0,0,0,0
989,used,4,pcomp,1,0,0,0,0
990,as,0,prep,1,0,0,0,0
991,the,0,det,1,0,0,0,0
992,metal,1,compound,0,0,0,0,2
993,precursors,1,pobj,0,0,0,0,2
